날짜,시도,측정소,PM10,PM25
2016-01-02,서울,중랑구,69,40
2016-01-03,서울,중랑구,144,80
2016-01-04,서울,중랑구,145,76
2016-01-05,서울,중랑구,39,24
2016-01-06,서울,중랑구,60,36
2016-01-07,서울,중랑구,68,35
2016-01-08,서울,중랑구,39,25
2016-01-09,서울,중랑구,43,25
2016-01-10,서울,중랑구,33,20
2016-01-11,서울,중랑구,49,25
2016-01-12,서울,중랑구,63,33
2016-01-13,서울,중랑구,43,26
2016-01-14,서울,중랑구,51,30
2016-01-15,서울,중랑구,79,49
2016-01-16,서울,중랑구,82,50
2016-01-17,서울,중랑구,65,50
2016-01-18,서울,중랑구,70,47
2016-01-19,서울,중랑구,27,14
2016-01-20,서울,중랑구,63,32
2016-01-21,서울,중랑구,61,36
2016-01-22,서울,중랑구,60,35
2016-01-23,서울,중랑구,41,18
2016-01-24,서울,중랑구,22,15
2016-01-25,서울,중랑구,73,25
2016-01-26,서울,중랑구,69,44
2016-01-27,서울,중랑구,65,30
2016-01-28,서울,중랑구,67,38
2016-01-29,서울,중랑구,67,30
2016-01-30,서울,중랑구,65,39
2016-01-31,서울,중랑구,57,33
2016-01-01,서울,동대문구,99,62
2016-01-02,서울,동대문구,62,45
2016-01-03,서울,동대문구,148,84
2016-01-04,서울,동대문구,151,85
2016-01-05,서울,동대문구,34,21
2016-01-06,서울,동대문구,63,31
2016-01-07,서울,동대문구,62,34
2016-01-08,서울,동대문구,36,27
2016-01-09,서울,동대문구,43,24
2016-01-10,서울,동대문구,28,14
2016-01-11,서울,동대문구,43,23
2016-01-12,서울,동대문구,49,22
2016-01-13,서울,동대문구,39,20
2016-01-14,서울,동대문구,51,29
2016-01-15,서울,동대문구,80,39
2016-01-16,서울,동대문구,83,48
2016-01-17,서울,동대문구,84,54
2016-01-18,서울,동대문구,85,50
2016-01-19,서울,동대문구,33,13
2016-01-20,서울,동대문구,49,32
2016-01-21,서울,동대문구,67,36
2016-01-22,서울,동대문구,64,35
2016-01-23,서울,동대문구,30,14
2016-01-24,서울,동대문구,23,9
2016-01-25,서울,동대문구,80,25
2016-01-26,서울,동대문구,78,37
2016-01-27,서울,동대문구,75,32
2016-01-28,서울,동대문구,60,31
2016-01-29,서울,동대문구,56,26
2016-01-30,서울,동대문구,68,36
2016-01-31,서울,동대문구,67,32
2016-01-01,서울,성북구,81,57
2016-01-02,서울,성북구,79,42
2016-01-03,서울,성북구,98,73
2016-01-04,서울,성북구,121,71
2016-01-05,서울,성북구,38,24
2016-01-06,서울,성북구,61,34
2016-01-07,서울,성북구,76,32
2016-01-08,서울,성북구,42,29
2016-01-09,서울,성북구,52,22
2016-01-10,서울,성북구,38,22
2016-01-11,서울,성북구,48,26
2016-01-12,서울,성북구,54,25
2016-01-13,서울,성북구,42,23
2016-01-14,서울,성북구,45,31
2016-01-15,서울,성북구,65,50
2016-01-16,서울,성북구,77,60
2016-01-17,서울,성북구,75,62
2016-01-18,서울,성북구,72,54
2016-01-19,서울,성북구,29,15
2016-01-20,서울,성북구,47,33
2016-01-21,서울,성북구,54,26
2016-01-22,서울,성북구,63,29
2016-01-23,서울,성북구,36,11
2016-01-24,서울,성북구,26,11
2016-01-25,서울,성북구,77,15
2016-01-26,서울,성북구,82,36
2016-01-27,서울,성북구,74,25
2016-01-28,서울,성북구,56,28
